id,record_id,pub_id,contrib_id,user_id,record_title,last_edited,year,month,day,status,review_type,reviewed_book_title,reviewed_book_pub_date,reviewed_book_publisher,reviewed_book_publisher_viaf_match,reviewed_book_genre,reviewed_book_price,reviewed_author_viaf_match,reviewed_author_name
704,127401910,24380,NULL,1,"Our Book Table.",2020-02-01,1890,NULL,NULL,done,multi,,,,NULL,,,,
711,90114308,25067,NULL,2,"The Revision of the Westminster Symbols.",2020-02-10,1890,NULL,NULL,done,multi,,,,NULL,,,,
720,125715359,35448,123,3,"Review 2 -- No Title",2020-02-10,1895,NULL,NULL,done,single_focus,"Elliot's General Practice",1894,"The Bowen-Merrill Company",NULL,"Nonfiction - legal",,http://viaf.org/viaf/53225790;http://viaf.org/viaf/55686314,"Byron K Elliott; William F Elliott"
722,136678992,26663,NULL,2,"AMONG THE BOOKS",2020-02-11,1898,NULL,NULL,done,multi,,,,NULL,,,,
730,137097377,40705,NULL,1,"FAMILIAR SPANISH TRAVELS.",2020-02-01,1914,NULL,NULL,done,single_focus,"Familiar Spanish Travels",1913,"Harper & Brothers",http://viaf.org/viaf/122099855,"Nonfiction - travel",,http://viaf.org/viaf/95191935,"William Dean Howells"
731,124450952,24237,125,1,"THE FOUNTAIN OF LIFE, OR THE THREEFOLD POWER OF SEX.",2020-02-03,1894,NULL,NULL,done,single_focus,"The Fountain of Life, or the Threefold Power of Sex",1894,"The Independent Publishing Co.",NULL,Nonfiction,,http://viaf.org/viaf/16233540,"Lois Waisbrooker"
734,89671396,25244,NULL,2,"A doctor of divinity's human side.",2020-02-11,1916,NULL,NULL,done,single_focus,"William Newton Clarke",1916,Scribner,http://viaf.org/viaf/121555288,"Nonfiction - biographical",$2,,"Mrs. Clarke"
999,136960562,35617,NULL,4,"RELIGIOUS AND THEOLOGICAL",2020-04-03,1897,NULL,NULL,done,multi,,,,,,,,
1,90546389,24565,NULL,4,"Review 4 -- No Title",2020-02-17,1904,NULL,NULL,needs_crosscheck,single_focus,"The Romance of Piscator",,"Henry Holt & Co.",http://viaf.org/viaf/126775354,Fiction,$1.25,http://viaf.org/viaf/61695230,"Henry Wysham Lanier"
2,127610339,24673,NULL,4,"STAGE WHISPERS",2020-03-24,1882,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
3,90583446,24565,NULL,4,"Review 5 -- No Title",2020-02-19,1904,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
